id,title,ico,type,job,kind,priority,castType,lvMax,stage2Id,stage2LvMax,stage3Id,stage3LvMax,desc,endRow
6541,普通攻击,1610002,3,0,0,1,1,1,,,,,,
6542,范围魔球,1650026,3,0,0,51,2,1,,,,,,
6543,魔力爆破,1650027,3,0,0,51,1,1,,,,,凝聚魔阵对敌方造成巨大伤害，并其降低普通攻击防御10秒,
6544,圣光炮,1650028,3,0,0,51,1,1,,,,,蓄力后对前方发出魔力光炮,
6546,普通攻击,1610002,3,0,0,1,1,1,,,,,,
6547,黑洞陨落,1650029,3,0,0,51,2,1,,,,,召唤6道漆黑力量下落造成伤害，并使对方减速,
6548,死灵魔阵,1650030,3,0,0,51,1,1,,,,,死灵力量形成魔法阵，造成伤害并向敌方施加沉默状态,
6549,毒沼,1650031,3,0,0,51,2,1,,,,,,
6551,普通攻击,1650032,3,0,0,1,0,1,,,,,,
6552,寒冰幽灵,1650033,3,0,0,51,2,1,,,,,,
6553,火焰幽灵,1650034,3,0,0,51,2,1,,,,,召唤两个火幽灵靠近敌人并爆炸，并降低对方一定技防。,
6554,暗影幽灵,1650035,3,0,0,51,2,1,,,,,,
6556,普通攻击1,1610002,3,0,0,1,0,1,,,,,,
6557,普通攻击2,1610002,3,0,0,1,0,1,,,,,,
6558,旋风斩,1650036,3,0,0,51,0,1,,,,,宛若旋风般的刀舞，并对碰到的敌人造成定身,
6559,蓄力直线斩,1650037,3,0,0,51,0,1,,,,,,
6560,蓄力四段斩,1650038,3,0,0,51,0,1,,,,,,
6561,普通攻击,1610002,3,0,0,1,1,1,,,,,,
6562,毒气沼泽,1650039,3,0,1,51,2,1,,,,,在前方召唤出毒沼产生持续范围伤害，并使敌人中毒5秒,
6563,诅咒之门,1650040,3,0,1,51,2,1,,,,,,
6566,普通攻击,1610002,3,0,0,1,0,1,,,,,,
6567,暗黑束缚,1610032,3,0,0,51,0,1,,,,,,
6568,星辰禁咒,1610002,3,0,0,51,0,1,,,,,在前方召唤出持续10秒的暗黑星阵伤害,
6569,暗黑魔牢,1650032,3,0,0,51,0,1,,,,,把周围敌人拉到面前，爆发暗黑之炎造成巨大伤害,
6571,普通攻击,1610002,3,0,0,1,0,1,,,,,,
6572,流星陨落,1650011,3,0,0,51,0,1,,,,,在周围随机掉落5个陨石形成范围伤害,
6576,海伦普攻,1610002,3,0,0,1,0,1,,,,,海伦普攻,
6579,寒冰风暴,1650003,3,0,0,51,0,1,,,,,召唤出向前飞行的巨大寒冰风暴伤害，并对碰到的敌人减速,
6580,恢复魔力,1650019,3,0,0,51,0,1,,,,,恢复你一定的魔力,
6581,普通攻击1,1610002,3,0,0,1,0,1,,,,,,
6582,普通攻击2,1610002,3,0,0,1,0,1,,,,,,
6586,普通攻击,1610002,3,0,0,1,0,1,,,,,,
6591,普通攻击,1610002,3,0,0,1,0,1,,,,,,
6596,普攻,1610002,3,64,0,1,0,1,,,,,在敌人方向召唤落下一道闪电,
6597,电磁炮,1610002,3,64,0,51,0,1,,,,,蓄力后对前方范围发出电磁炮,
6598,雷电风暴,1610002,3,64,0,51,0,1,,,,,在身旁召唤出五道向前移动的闪电柱并造成伤害,
6599,电磁源,1610002,3,64,0,51,0,1,,,,,召唤出三个电磁源给自己恢复血量,
6600,电磁源回血,1610002,3,64,0,51,0,1,,,,,,
6601,增加普攻,1650050,3,0,0,99,0,1,,,,,增加普攻,
6602,增加普攻,1650050,3,0,0,99,0,1,,,,,增加普攻,
6603,增加普防,1650046,3,0,0,99,0,1,,,,,增加普防,
6604,降低敌人普攻,1650047,3,0,0,99,0,1,,,,,降低敌人普攻,
6605,增加技攻,1650054,3,0,0,99,0,1,,,,,增加技攻,
6606,增加技防,1650049,3,0,0,99,0,1,,,,,增加技防,
6607,增加削攻,1650048,3,0,0,99,0,1,,,,,增加削攻,
6608,降低敌人普防,1650051,3,0,0,99,0,1,,,,,降低敌人普防,
6609,增加破甲,1650055,3,0,0,99,0,1,,,,,增加破甲,
6610,降低敌人技防,1650053,3,0,0,99,0,1,,,,,降低敌人技防,
6611,降低敌人技攻,1650048,3,0,0,99,0,1,,,,,降低敌人技攻,
6612,降低敌人普防,1650051,3,0,0,99,0,1,,,,,降低敌人普防,
6613,降低敌人技防,1650053,3,0,0,99,0,1,,,,,降低敌人技防,
6614,增加技防,1650049,3,0,0,99,0,1,,,,,增加技防,
6615,降低敌人普攻,1650047,3,0,0,99,0,1,,,,,降低敌人普攻,
6616,增加技攻,1650054,3,0,0,99,0,1,,,,,增加技攻,
6617,增加普攻,1650050,3,0,0,99,0,1,,,,,增加普攻,
6618,降低敌人技攻,1650048,3,0,0,99,0,1,,,,,降低敌人技攻,
6619,增加普防,1650046,3,0,0,99,0,1,,,,,增加普防,
6621,普攻,1610002,3,32,0,2,0,1,,,,,,
6622,大地爆裂,1610002,3,32,0,2,0,1,,,,,,
6626,普攻,1610002,3,0,0,1,0,1,,,,,,
6627,石化,1610002,3,0,0,51,0,1,,,,,,
6628,狂暴,1610002,3,0,0,51,0,1,,,,,美杜莎用尾巴扫击击飞旁边敌人，然后向前方射出石化光线，将对方定身,
6629,喘息,1610002,3,0,0,51,0,1,,,,,,
