id,complete,pivot,is_drak,tips_pos,angel_is_left,cue_fx,cue_pos,cue_rot,collide_pos,collide_scal,arrows_pos,arrows_to,light_pos1,light_pos2,todo,press,recycle,tips
333,"[331,332,333]",0,1,"[0,-200,0]",0,,,,,,,,"[0,0,18]",,"[5,21,42]",[11],[43],解封可以使你的装备发出光芒
#329接起来,,,,,,,,,,,,,,,,,,
334,,5,1,"[-373,242,0]",1,1,"[-175,245,0]",,"[-175,245,0]","[90,90,1]",,,"[-175,245,2]",,[7],"[12,11]",,点击装备按钮
335,,0,1,"[-190,170,0]",0,1,"[-205,318,0]",,"[-205,318,0]","[185,90,1]",,,"[-205,318,2]",,,"[12,11]",,点击进入解封
#指引精英副本,,,,,,,,,,,,,,,,,,
336,,0,1,"[-217,-252,0]",0,1,"[-530,-262,0]",,"[-530,-262,0]","[110,75,1]",,,"[-530,-262,2]",,,"[12,11]",,通关困难可挑战精英副本
337,,0,1,"[183,-319,0]",,,,,,,"[176,-271,0]",3,"[183,-223,17]",,"[5,21]",[11],,精英副本有每日挑战次数限制
338,"[336,337,338,339]",0,1,"[71,-278,0]",1,1,"[441,-268,0]",,"[441,-268,0]","[198,68,1]",,,"[441,-268,3]","[-226,-268,10]",,"[12,11]",[14],还掉落珍稀的装备锻造材料，快去挑战
#第一次切BOSS指引,,,,,,,,,,,,,,,,,,
340,[340],0,0,"[280,-260.7,0]",0,6,"[140,-130,0]",,,,,,,,"[3,33]",,[14],手指朝任意方向滑动，可斩击敌人
#英雄殿堂指引,,,,,,,,,,,,,,,,,,
350,,3,1,"[-270,-170,0]",0,1,"[-277,-50,0]",,"[-277,-50,0]","[110,110,1]",,,"[-277,-50,2]",,[8],"[12,11]",,点击每日必做
351,"[350,351]",0,1,"[-320,-200,0]",0,1,"[-320,-35,0]",,"[-320,-35,0]","[180,220,1]",,,"[-320,-35,2]",,,"[12,11]",,在这里可获得荣誉称号
352,,0,1,"[-186,-120,0]",1,,,,"[-259,-284,0]","[176,45,1]","[-410,-280,0]",2,"[96,-169,50]",,"[5,21]",[11],,每个称号都有获得条件
353,,0,1,"[-186,-120,0]",1,,,,"[-243,-321,0]","[220,44,1]","[-418,-321,0]",2,"[-243,-264,3]",,"[5,21]",[11],,每天膜拜拥有称号玩家能获得丰厚金币
354,,0,1,"[-443,-134,0]",0,1,"[-510,20,0]",,"[-510,20,0]","[170,80,1]",,,"[-510,20,3]",,,"[12,11]",,点击查看永久个人称号
355,,0,1,"[-213,-123,0]",1,,,,,,"[-438,-237,0]",2,"[75,-15,50]",,"[5,21]",[11],,这里的所有称号都是永久获得的
356,"[352,353,354,355,356]",0,1,"[481,315,0]",1,1,"[605,317,0]",,"[605,317,0]","[78,78,1]",,,"[605,317,2]",,,"[12,11]",,点击关闭
#羽翼指引,,,,,,,,,,,,,,,,,,
360,,5,1,"[-174,0,0]",1,1,"[-174,123,0]",,"[-174,123,0]","[90,90,1]",,,"[-174,123,2]",,[7],"[12,11]",,有新功能开放了，点击打开背包
361,"[360,361]",0,1,"[-11,190,0]",0,1,"[-24,315,0]",,"[-24,315,0]","[185,80,1]",,,"[-24,315,2]",,,"[12,11]",,羽翼功能开放了
362,,0,1,"[207,258,0]",1,,,,,,"[139,143,0]",2,"[401,117,6]","[-248,-190,10]","[5,21]",[11],,羽翼升级到满级后即可进阶
363,,0,1,"[69,57,0]",0,1,"[107,-28,0]",,"[107,-28,0]","[69,80,1]",,,"[107,-28,2]",,,"[12,11]",,进阶后就会改变羽翼外观
364,,0,1,"[335,-35,0]",1,1,"[310,-150,0]",,"[310,-150,0]","[104,99,1]",,,"[310,-150,3]","[-196,5,10]",,"[12,11]",,点击羽翼石图标可进行材料追踪
365,"[362,363,364,365]",0,1,"[-22,-134,0]",0,1,"[-20,50,0]",,"[2,50,0]","[451,80,1]",,,"[2,50,10]",,,"[12,11]",,羽翼消耗的道具可通过神之试炼获得
366,,0,1,"[-80,-327,0]",1,,,,,,,,"[96,-169,50]",,"[5,21]",[11],,神之试炼通过层数越高，奖励越丰厚
367,,0,1,"[470,290,0]",1,1,"[570,293,0]",,"[570,293,0]","[78,78,1]",,,"[570,293,2]",,,"[12,11]",,点击关闭
368,"[366,367,368]",0,1,"[470,290,0]",1,1,"[596,320,0]",,"[596,320,0]","[78,78,1]",,,"[596,320,2]",,,"[12,11]",,点击关闭
369,[369],3,1,"[-350,-211,0]",1,1,"[-165,-55,0]",,"[-165,-55,0]","[110,110,1]",,,"[-165,-55,2]",,[8],"[12,11]",,可通过三天限时“炫酷翅膀”活动快速购买获得羽翼
#远古神坛指引,,,,,,,,,,,,,,,,,,
370,,3,1,"[-490,-202,0]",0,1,"[-489,-55,0]",,"[-489,-55,0]","[110,110,1]",,,"[-489,-50,2]",,[8],"[12,11]",,点击王者之路
371,"[370,371]",0,1,"[115,-255,0]",0,1,"[112,-42,0]",,"[112,-42,0]","[215,300,1]",,,"[112,-42,5]",,,"[12,11]",,进入远古神坛
372,,0,1,"[-333,-105,0]",0,,,,"[-398,176,0]","[250,100,1]","[-256,178,0]",1,"[-398,176,10]",,"[5,21]",[11],,经验神坛每隔3小时就可以汇聚一次神灵经验
373,,0,1,"[69,57,0]",0,1,"[-403,-28,0]",,"[-403,-28,0]","[215,300,1]",,,"[-403,-28,2]",,,"[12,11]",,经验神坛汇聚完成，点击就可以吸收哦！
374,,0,1,"[100,-60,0]",0,1,"[117,90,0]",,"[117,90,0]","[180,180,1]","[-366,162,0]",1,"[117,90,2]","[-300,0,10]",[39],"[12,11]",,选择你想要吸收经验的神灵
375,,0,1,"[76,-237,0]",0,1,"[-292,-239,0]",,"[-292,-239,0]","[205,70,1]",,,"[-292,-239,18]",,,"[12,11]",,点击就可以吸收神坛的经验咯！
376,"[372,373,374,375,376]",0,1,"[470,290,0]",1,1,"[577,284,0]",,"[577,284,0]","[78,78,1]",,,"[577,284,2]",,,"[12,11]",,点击关闭
377,,0,1,"[-384,170,0]",0,1,"[-376,318,0]",,"[-376,318,0]","[185,90,1]",,,"[-376,318,2]",,,"[12,11]",,点击进入神坛掠夺分页
378,,0,1,"[-384,170,0]",0,1,"[-507,100,0]",,"[-507,100,0]","[145,90,1]",,,"[-507,100,2]",,,"[12,11]",,点击进入推荐神坛
379,,0,1,"[-49,-265,0]",0,,,,"[-82,57,0]","[710,220,1]","[330,64,0]",1,"[-103,-48,18]",,,"[12,11]",,在这可以看到实力相近的对手，有机会掠夺他们的神坛哦！
380,"[377,378,379,380]",0,1,"[133,-316,0]",1,,,,,,"[286,-239,0]",2,"[437,-219,5]",,"[5,21]",[11],,玩家的神坛经验汇聚完成时，你就可以点击此处进行掠夺哦！
