id,Desc,Sound1,Ratio1,Sound2,Ratio2,Sound3,Ratio3,downloadLevel,Delay,Volume,PlayType,SoundType,PriorityLevel,IsMusicDown,endRow
420016,路西法激光炮出招叫声,Character/Monster/Character_Lucifer_Cast03,100,,,,,0,0,100,1,1,2,,
420021,哥布林受击叫声,Character/Monster/Character_Goblin_Hit01,10,Character/Monster/Character_Goblin_Hit02,10,UI/System_ForRandom_Empty01,80,0,0,100,1,1,1,,
420022,哥布林重伤叫声,Character/Monster/Character_Goblin_Die01,25,Character/Monster/Character_Goblin_Die02,25,UI/System_ForRandom_Empty01,50,0,0,100,1,1,1,,
420023,哥布林普通攻击出招叫声,Character/Monster/Character_Goblin_Hit01,25,Character/Monster/Character_Goblin_Hit02,25,UI/System_ForRandom_Empty01,50,0,0,100,1,1,1,,
420031,狼人受击叫声,Character/Monster/Character_Wolf_Hit01,25,Character/Monster/Character_Wolf_Hit02,25,UI/System_ForRandom_Empty01,50,0,0,100,1,1,1,,
420032,狼人重伤叫声,Character/Monster/Character_Wolf_Die01,25,Character/Monster/Character_Wolf_Die02,25,UI/System_ForRandom_Empty01,50,0,0,100,1,1,1,,
420033,狼人普通攻击出招叫声1,Character/Monster/Character_Wolf_Cast01,10,Character/Monster/Character_Wolf_Cast02,10,UI/System_ForRandom_Empty01,80,0,0,100,1,1,1,,
420034,狼人普通攻击出招叫声2,Character/Monster/Character_Wolf_Cast01,10,Character/Monster/Character_Wolf_Cast03,10,UI/System_ForRandom_Empty01,80,0,0,100,1,1,1,,
420035,狼人双爪击出招叫声1,Character/Monster/Character_Wolf_Cast01,100,,,,,0,0,100,1,1,2,,
420036,狼人跳跃双爪击出招叫声2,Character/Monster/Character_Wolf_Cast02,100,,,,,0,0,100,1,1,2,,
500001,登录场景音乐,music/zd02,100,,,,,0,0,80,2,5,1,,
500002,休闲感觉的场景音乐01,music/xsc,100,,,,,0,0,100,2,5,1,,
500003,激励磅礴的场景音乐01,music/pds,100,,,,,0,0,100,2,5,1,,
500004,比较缓慢的场景战斗音乐01,music/zd01,100,,,,,0,0,100,2,5,1,,
500005,比较紧凑的场景战斗音乐02,music/zd02,100,,,,,0,0,100,2,5,1,,
500006,舒缓的场景音乐01,music/Lesbos,100,,,,,0,0,100,2,5,1,,
