id,asset,bind1,downloadLevel,offset1,bind2,offset2,scale,follow,dura,desc,endRow,,
1471,Cast_IceAoe_DCQ001,,,,,,1,1,2,海伦寒冰爆发的范围特效,,,
1472,Cast_IceWall_DCQ001,,,,,,1,1,-1,海伦寒冰屏障的蓄力特效,,,
1473,Cast_IceWall_DCQ001,,,,,,1,1,-1,海伦寒冰屏障的范围特效,,,
1474,Bullet_Torando_DCQ001C,,,,,,1.5,1,0.7977295,海伦寒冰龙卷爆开,,,
1475,Bullet_Torando_DCQ001B,,,"[0,0,-0.5]",,,1,,-1,海伦寒冰龙卷蓄力,,,
1501,Cast_HyperSlash_DCQ001C,,,"[0,0,2.5]",,,1,,3.495163,副官近战蓄力攻击的特效,,,
1503,Cast_Boom_Cl002,,,,,,1.2,1,0.9,副官远战蓄力攻击,,,
1504,Cast_GroundSpilt_Cl002,,,,,,1.5,1,-1,副官牵引特效,,,
1505,Cast_MagicalArea_DCQ003C,,,,,,1,1,1,副官牵引后火焰爆炸,,,
1506,Bullet_Torando_DCQ001C,,,,,,1,1,0.7977295,副官寒冰龙卷爆开,,,
1511,Cast_WindSlash_DCQ001,,,,,,1,1,-1,强盗旋风斩的特效,,,
1512,Cast_DashSlash_DCQ001A,,,"[0,0.8,0]",,,1,1,0.832,强盗冲锋的特效,,,
1513,Cast_Stamp_DCQ001,,,,,,1.5,,1.5,强盗跳斩斩下的特效,,,
1515,Cast_DarkBullet_DCQ001,,,,,,1,,1.407349,美狄亚普通攻击释放特效,,,
1516,Cast_MagicalArea_DCQ001A,,,,,,1,1,-1,美狄亚暗黑束缚第1段特效,,,
1517,Cast_MagicalArea_DCQ001B,,,,,,1,,1.716614,美狄亚暗黑束缚第2段特效,,,
1518,Cast_MagicalArea_DCQ002A,,,,,,1,,2.227051,美狄亚暗黑星阵第1段特效,,,
1519,Cast_MagicalArea_DCQ002B,,,,,,1,1,-1,美狄亚暗黑星阵第2段特效,,,
1520,Cast_MagicalArea_DCQ003A,,,,,,1,,1.338928,美狄亚暗黑魔牢第1段特效,,,
1521,Cast_MagicalArea_DCQ003B,,,,,,1.33,1,-1,美狄亚暗黑魔牢第2段特效,,,
1522,Cast_MagicalArea_DCQ003C,,,,,,1,1,1.612946,美狄亚暗黑魔牢第3段特效,,,
1523,Cast_StarLight_DCQ001,RWeapon,,,,,1,1,1.383881,阿斯特瑞亚普通攻击,,,
1524,Cast_StarLight_DCQ002,RWeapon,,,,,1,1,1.383881,阿斯特瑞亚八面星光释放特效,,,
1525,Cast_StarLight_DCQ003,,,,,,1,1,1.383881,阿斯特瑞亚回血星光释放特效,,,
1526,Cast_MeteorDown_DCQ001A,,,,,,1,1,1.383881,阿斯特瑞亚召唤流星雨释放特效,,,
1527,Cast_MeteorDown_DCQ001B,,,,,,1,1,-1,阿斯特瑞亚召唤流星雨影子特效,,,
1528,Cast_BallDown_Cl001C,,,,,,1,1,2.5,阿斯特瑞亚回血星光释放特效,,,
1531,Cast_BallDown_Cl001B,,,"[0,0.2,0]",,,1,1,-1,宙斯普攻落雷阴影,,,
1532,Cast_ThunderDown_DCQ001B,,,,,,1,1,0.952423,宙斯普攻落雷,,,
1533,Cast_ThunderDown_DCQ001A,RWeapon,,,,,1.5,1,0.3,宙斯手上闪电,,,
1534,Cast_ThunderCannon_DCQ001B,,,,,,1,1,1.3,宙斯电磁炮蓄力,,,
1535,Cast_ThunderCannon_DCQ001C,,,"[0,0.6,0.5]",,,1,1,1.684036,宙斯电磁炮释放,,,
1536,Cast_Thunder_DCQ001A,,,,,,1,1,-1,宙斯召唤闪电球1,,,
1537,Cast_Thunder_DCQ001B,,,,,,1,1,-1,宙斯召唤闪电球2,,,
1538,Bullet_Thunder_DCQ001C,,,,,,1,1,1.349384,宙斯闪电球爆开,,,
1539,Cast_EtherOrigin_DCQ001A,,,,,,1,1,1.542969,宙斯释放电磁源,,,
1540,Cast_EtherOrigin_DCQ001B,,,,,,3,1,-1,宙斯召唤出的电磁源,,,
1541,Cast_SwordFlash_DCQ013,,,"[0,0,-1]",,,1,1,1.635443,暗黑雅典娜普攻刀光1,,,
1542,Cast_SwordFlash_DCQ014,,,"[0,0,-2]",,,1,1,0.8,暗黑雅典娜普攻刀光2,,,
1543,Cast_HolyBlast_DCQ002A,,,,,,1,1,0.7362747,暗黑雅典娜魔剑起手,,,
1544,Cast_HolyBlast_DCQ002B,,,,,,1,1,-1,暗黑雅典娜魔剑蓄力,,,
1545,Cast_HolyBlast_DCQ002C,,,"[0,0,-1]",,,1,1,0.8527832,暗黑雅典娜魔剑3,,,
1546,Cast_HolyBlast_DCQ002D,,,"[0,0,-1]",,,1,1,0.71875,暗黑雅典娜魔剑4,,,
1547,Cast_HolyBlast_DCQ002E,,,,,,1,1,0.8,暗黑雅典娜魔剑5,,,
1548,Cast_MurlocCircle_DCQ001,,,"[0.5,0,-0.5]",,,1.3,,-1,鱼人旋风斩特效,,,
1549,Cast_MurlocStick_DCQ001,,,,,,2,1,1.779968,鱼人跳插特效,,,
1550,Cast_HolyDefense_DCQ001,,,,,,1,,1.854492,暗黑雅典娜雅典娜魔盾反击特效,,,
1551,Cast_MedusaAttack_DCQ001,,,,,,1.8,,1.28318,美杜莎普攻刀光,,,
1552,Cast_MedusaShoot_DCQ001,Head,,,,,1,1,2.85,美杜莎石化,,,
1553,Cast_MedusaCombo_DCQ001A,,,,,,1,,2.365982,美杜莎狂暴1,,,
1554,Cast_MedusaCombo_DCQ001B,Head,,,,,1,1,0.9,美杜莎狂暴2,,,
1555,Cast_MedusaCombo_DCQ001C,,,,,,1.5,,3.9,美杜莎狂暴3,,,
1556,Cast_MedusaRestore_DCQ001,,,,,,1,,1.7,美杜莎喘息,,,
1561,Cast_Rock_Cl001,,,,,,1.35,,3.2,石头人用地岩,,,
1562,Cast_Crack_Cl001,,,"[0,0,-1.5]",,,1.5,,2.762207,炎魔爆地,,,
2001,Hit_Slash_Cl001,Chest,,,,,1,0,1,斩击用的受击特效,,,
2002,Hit_Slash_Cl002,Chest,,,,,1,0,1,群体斩击用的受击特效,,,
2003,Hit_Slash_DCQ001,Chest,,,,,1,0,1,主角斩击用的受击特效,,,
2011,Hit_Hit_Cl001,Chest,,,,,1,0,1,打击/撞击用的受击特效,,,
2021,Hit_Sting_Cl001,Chest,,,,,1,0,1,刺击用的受击特效,,,
2031,Hit_SpatteringBlood_Cl001,Chest,,,,,1,0,1,撒血受击特效,,,
2032,Hit_SpatteringBlood_Cl002,Chest,,,,,1,0,1.5,撒血受击特效,,,
2041,Hit_IceBroken_Cl001,Chest,,,,,1,0,1,冰爆开的受击特效,,,
2051,Hit_Electric_Cl001,Chest,,,,,1,0,1,电击的受击特效,,,
2061,Hit_Burning_Cl001,Chest,,,,,1,0,1,火烧的受击特效,,,
2062,Hit_Fire_DCQ001,,,,,,1,0,1,熔岩溅烧的受击特效,,,
2071,Hit_Boom_Cl001,Chest,,,,,1,0,1,爆炸的受击特效,,,
2091,Hit_Poison_DCQ001,Chest,,,,,1,,1.199463,毒雾受击特效,,,
2101,Hit_Heal_Cl001,,,,,,1,1,2,通用治疗特效,,,
2201,Hit_HolyCure_DCQ001,,,,,,1,1,1.677979,战斗雅典娜圣疗术受击,,,
3001,Buff_Angry_CL001,Head,,,,,1,0,-1,处于嘲讽状态时头顶的状态特效,,,
3002,Buff_Burning_Cl001,,,,,,1,1,-1,处于灼烧状态时的状态特效,,,
3003,Buff_ConfuseCl001,,,"[0,1.6,0]",,,1,1,-1,处于眩晕状态时的状态特效,,,
3004,Buff_Electric_Cl001,Chest,,,,,1,1,-1,处于电击麻痹状态时的状态特效,,,
3005,Buff_ElectricalField_Cl001,,,,,,1,1,-1,电击磁场的特效,,,
3006,Buff_Haste_CL001,,,,,,1,1,-1,加速状态的特效,,,
3007,Buff_Slow_CL001,,,,,,1,1,-1,减速状态的特效,,,
3008,Buff_HealLoop_Cl001,,,,,,1,1,-1,持续治疗的状态特效,,,
3009,Buff_HealOnce_Cl001,,,,,,1,1,-1,单次治疗的释放特效,,,
3010,Buff_Negative_CL001,,,,,,1,1,-1,通用的减益负面状态特效,,,
3011,Buff_Positive_CL001,,,,,,1,1,-1,通用的增益正面状态特效,,,
3012,Buff_Poison_Cl001,Chest,,,,,1,1,-1,中毒状态的特效,,,
3013,Buff_Slience_Cl001,,,"[0,0.4,0]",,,1,1,-1,沉默状态的特效,,,
3014,Buff_DefenseUp_Cl002B,,,"[0,-0.65,0]",,,1,1,-1,提升防御力状态特效,,,
3015,Buff_Evil_DCQ001B,,,,,,1,1,-1,Boss魔化时所播的状态特效。,,,
3016,Buff_ComboReady_DCQ001,,,,,,1,1,-1,用以提示对方的可使用无双技状态,,,
3017,Buff_SpiderSilk_DCQ001,,,,,,1,1,-1,束缚蜘蛛丝,,,
3018,Buff_PowerUp_DCQ001,,,,,,1,1,-1,攻击力提升,,,
3019,Buff_Freeze_DCQ001,,,,,,1,1,-1,冰封冻住,,,
3020,Buff_StarLight_DCQ003,,,,,,1,1,-1,阿斯特瑞亚用的回血Buff特效,,,
3021,Buff_Stone_DCQ001,,,,,,1,1,-1,美杜莎石化状态,,,
3061,Buff_DefenseUp_Cl001,,,,,,1,1,-1,圣骑加防御技能的防护盾状态特效,,,
3062,Buff_Counter_Cl001,,,,,,1,1,-1,圣骑反击技能的反击盾状态特效,,,
3101,Buff_HolyDefense_DCQ001,,,,,,1,1,-1,战斗雅典娜圣盾术状态特效,,,
3111,Buff_BossPower_DCQ001,Spine,,,,,1,1,-1,路西法身上挂的特效,,,
3112,Buff_NightsPower_DCQ001,Spine,,,,,1,1,-1,尼克斯翅膀上挂的特效,,,
3113,Buff_ThunderShield_DCQ001,Chest,,,,,1,1,-1,宙斯闪电盾状态特效,,,
3114,Buff_PowerUp_DCQ002,,,,,,1,1,2.497925,暗黑雅典娜魔盾,,,
3115,Buff_DefenseUp_DCQ003,,,,,,1,1,-1,暗黑雅典娜魔盾反击,,,
3116,Buff_DefenseUp_DCQ004,,,,,,1,1,-1,蓝色的技防护盾状态,,,
3117,Buff_Sleeping_DCQ001,,,,,,1.5,,-1,美杜莎喘息buff,,,
4001,Bullet_Sword_Cl001,Bullet,,"[0,1,0]",,,1,1,-1,魔剑攻击回退技能的子弹特效,,,
4002,Bullet_CrossSlash_DCQ001,Bullet,,,,,1,1,-1,魔剑普攻加强用的子弹特效,,,
4003,Bullet_ZeroBall_DCQ002B,Bullet,,"[0,1,0]",,,1,1,-1,魔剑零点追击用子弹特效,,,
4100,Bullet_SwordWave_Cl001,Bullet,,,,,1,1,-1,强盗蓄力剑气的剑气子弹特效,,,
4101,Bullet_Arrow_Cl001,Bullet,,"[0,1.3,0]",,,0.8,1,-1,副官用的箭矢子弹特效,,,
4102,Bullet_PhantomSword_Cl001,Bullet,,"[0,1.5,0]",,,0.7,1,-1,游侠的幻影魔剑特效,,,
4103,Bullet_PoisonBall_Cl001,Bullet,,"[0,1.2,0]",,,1,1,-1,法师攻击法球的子弹特效,,,
4104,Bullet_SwordWave_Cl001,Bullet,,,,,1,1,1,,,,
4105,Bullet_Ghost_Cl001,Bullet,,"[0,1.5,0]",,,0.6,1,-1,镰刀死神普通攻击的小幽灵,,,
4106,Bullet_Ghost_Cl002,Bullet,,"[0,1.5,0]",,,0.6,1,-1,镰刀死神召唤出的火焰幽灵,,,
4107,Bullet_Ghost_Cl003,Bullet,,"[0,1.5,0]",,,0.6,1,-1,镰刀死神召唤出的寒冰幽灵,,,
4108,Bullet_Ghost_Cl004,Bullet,,"[0,1.5,0]",,,0.6,1,-1,镰刀死神召唤出的暗影幽灵,,,
4111,Bullet_SwordWave_DCQ002,Bullet,,"[0,1,0]",,,1,1,-1,阿喀琉斯剑气飞行子弹特效,,,
4112,Bullet_MagicBall_DCQ001,Bullet,,"[0,1.2,0]",,,1,1,-1,邪恶的英灵普通攻击法球的子弹特效,,,
4113,Bullet_MagicBall_DCQ002B,Bullet,,"[0,1.8,0]",,,2,1,-1,海伦魔球的子弹特效,,,
4114,Bullet_ZeroBall_Cl001B,Bullet,,"[0,1.3,0]",,,1,1,-1,怪物用的魔球子弹特效,,,
4115,Bullet_ZeroBall_Cl001C,,,"[0,1.2,0]",,,2,1,2,怪物用的魔球子弹特效,,,
4116,Bullet_IceSword_DCQ001,Bullet,,"[0,1.2,0]",,,1,1,-1,阿伽门农斩出冰剑的子弹特效,,,
4117,Bullet_MagicBall_DCQ002B,Bullet,,"[0,1,0]",,,2,1,-1,海伦范围魔球的子弹特效,,,
4118,Bullet_Ghost_Cl004,Bullet,,"[0,1.7,0]",,,0.8,1,-1,路西法普通攻击子弹,,,
4119,Bullet_PoisonGas_DCQ001,Bullet,,"[0,0.5,0]",,,1,1,-1,蜘蛛毒雾子弹,,,
4120,Bullet_SpiderSilk_DCQ001,Bullet,,"[0,0.5,0]",,,1,1,-1,帝王蛛吐蜘蛛丝,,,
4123,Bullet_Lava_DCQ001,Bullet,,"[0,1,0]",,,1,1,-1,沙虫所喷沙浆,,,
4124,Bullet_Boom_DCQ001,Bullet,,"[0,1.2,0]",,,1.7,1,-1,哥布林手持炸弹,,,
4125,Bullet_DarkBullet_DCQ001,Bullet,,"[0,1.3,0]",,,1,1,-1,副官用的箭矢子弹特效,,,
4126,Bullet_DarkBullet_DCQ001,Bullet,,"[0,1.3,0]",,,0.7,1,-1,美狄亚普通攻击子弹,,,
4127,Bullet_StarLight_DCQ001,Bullet,,"[0,1.3,0]",,,1,1,-1,阿斯特瑞亚普通攻击子弹,,,
4128,Bullet_IceSting_DCQ001,Bullet,,"[0,1.3,0]",,,1,1,-1,海伦冰锥子弹,,,
4129,Bullet_Torando_DCQ001B,Bullet,,,,,1.5,1,-1,海伦冰龙卷攻击子弹,,,
4131,Bullet_Thunder_DCQ001B,,,,,,1,1,-1,宙斯闪电球子弹,,,
4134,Bullet_Sword_DCQ002A,,,,,,1,1,-1,暗黑雅典娜魔剑子弹,,,
4135,Bullet_Sword_DCQ002B,,,,,,1,1,1.5,暗黑雅典娜魔剑子弹爆开,,,
4201,Buff_Office02_DCQ001,Bullet,,"[0,1.8,0]",,,1.5,1,-1,副官远程普通攻击子弹,,,
4202,Bullet_Torando_DCQ001B,Bullet,,,,,1,1,-1,副官冰龙卷攻击子弹,,,
4204,Buff_Office03_DCQ001,Bullet,,"[0,1.8,0]",,,1,1,-1,副官远程普通攻击子弹,,,
5001,Cast_Lightcross_DCQ001,,,,,,1,,2,雅典娜出现时的特效,,,
5002,Cast_Deadlight_DCQ001,,,,,,1,,3,雅典娜消失时变成的特效,,,
5003,Cast_Lightning_DCQ002,,,,,,1,,-1,雅典娜变成灵魂飞到主角身上的过程中的光球,,,
5004,Cast_BossDie_DCQ001,Spine,,,,,1,1,2,路西法死亡时的特效表现,,,
5005,Cast_Summon_DCQ001B,RWeapon,,,,,1,1,-1,巫师召唤时的特效表现,,,
6000,Object_Office01_DCQ001,Spine,,,,,1,1,-1,通用的1阶副官特效,,,
6001,Object_Elf01_DCQ002,Spine,,,,,1,1,-1,通用的2阶副官特效,,,
6002,Object_Elf01_DCQ003,Spine,,,,,1,1,-1,通用的3阶副官特效,,,
6003,Object_Elf01_DCQ004,Spine,,,,,1,1,-1,通用的4阶副官特效,,,
6004,Object_Elf01_DCQ005,Spine,,,,,1,1,-1,通用的5阶副官特效,,,
6005,Object_Elf01_DCQ006,Chest,,,,,1,1,-1,通用的5阶副官特效界面专用版,,,
6101,Object_Elf02_DCQ001,Spine,,,,,1,1,-1,小恶魔精灵对应的特效,,,
6102,Object_Elf03_QZ001,Spine,,,,,1,1,-1,南瓜怪精灵对应的特效,,,
6201,Buff_Office01_DCQ001,Hips,,,,,1,1,-1,红色通用副官挂在腰部的火焰,,,
6202,Buff_Office01_DCQ002,Head,,,,,1,1,-1,红色通用副官挂在脖子的火焰,,,
6203,Buff_Office01_DCQ003,RHand,,,LHand,,1,1,-1,红色通用副官挂在手上的火焰,,,
6204,Buff_Office03_DCQ001,Hips,,,,,1,1,-1,绿色通用副官挂在腰部的火焰,,,
6205,Buff_Office03_DCQ002,Head,,,,,1,1,-1,绿色通用副官挂在脖子的火焰,,,
6206,Buff_Office03_DCQ003,RHand,,,LHand,,1,1,-1,绿色通用副官挂在手上的火焰,,,
6207,Buff_Office02_DCQ001,Hips,,,,,1,1,-1,蓝色通用副官挂在腰部的火焰,,,
6208,Buff_Office02_DCQ002,Head,,,,,1,1,-1,蓝色通用副官挂在脖子的火焰,,,
6209,Buff_Office02_DCQ003,RHand,,,LHand,,1,1,-1,蓝色通用副官挂在手上的火焰,,,
10701,Equip_CommonWing_DCQ009A,B_L_Wing120,0,,B_R_Wing120,,1,1,-1,9阶翅膀特效01,,,
10702,Equip_CommonWing_DCQ009B,B_L_Wing130,0,,B_R_Wing130,,1,1,-1,9阶翅膀特效02,,,
10703,Equip_CommonWing_DCQ010A,B_L_Wing120,0,,B_R_Wing120,,1,1,-1,10阶翅膀特效01,,,
10705,Equip_CommonWing_DCQ011A,B_L_Wing120,0,,B_R_Wing120,,1,1,-1,11阶翅膀特效01,,,
10706,Equip_CommonWing_DCQ011B,B_L_Wing140,0,,B_R_Wing140,,1,1,-1,11阶翅膀特效02,,,
10707,Equip_CommonWing_DCQ012A,B_L_Wing130,0,,B_R_Wing130,,1,1,-1,12阶翅膀特效01,,,
10708,Equip_CommonWing_DCQ012B,B_L_Wing140,0,,B_R_Wing140,,1,1,-1,12阶翅膀特效02,,,
10801,Equip_PendantBack_DCQ001,Pendant,,,,,1,1,-1,鬼脸盾挂件特效,,,
10802,Equip_PendantBack_DCQ002,Pendant,,,,,1,1,-1,十字架挂件特效,,,
11103,Equip_KnightLevel2Weapon_DCQ001,RWeapon,,,,,1,1,-1,圣骑蓝品0阶武器特效,,,
11104,Equip_KnightLevel3Weapon_DCQ001,RWeapon,,,,,1,1,-1,圣骑紫品0阶武器特效,,,
11105,Equip_KnightLevel4Weapon_DCQ001,RWeapon,,,,,1,1,-1,圣骑红品0阶武器特效,,,
11106,Equip_KnightLevel5Weapon_DCQ001,RWeapon,,,,,1,1,-1,圣骑橙品0阶武器特效,,,
11113,Equip_KnightLevel2Weapon_DCQ002,RWeapon,,,,,1,1,-1,圣骑蓝品1阶武器特效,,,
11114,Equip_KnightLevel3Weapon_DCQ002,RWeapon,,,,,1,1,-1,圣骑紫品1阶武器特效,,,
11115,Equip_KnightLevel4Weapon_DCQ002,RWeapon,,,,,1,1,-1,圣骑红品1阶武器特效,,,
11116,Equip_KnightLevel5Weapon_DCQ002,RWeapon,,,,,1,1,-1,圣骑橙品1阶武器特效,,,
11123,Equip_KnightLevel2Weapon_DCQ003,RWeapon,,,,,1,1,-1,圣骑蓝品2阶武器特效,,,
11124,Equip_KnightLevel3Weapon_DCQ003,RWeapon,,,,,1,1,-1,圣骑紫品2阶武器特效,,,
11125,Equip_KnightLevel4Weapon_DCQ003,RWeapon,,,,,1,1,-1,圣骑红品2阶武器特效,,,
11126,Equip_KnightLevel5Weapon_DCQ003,RWeapon,0,,,,1,1,-1,圣骑橙品2阶武器特效,,,
11133,Equip_KnightLevel2Weapon_DCQ004,RWeapon,0,,,,1,1,-1,圣骑蓝品3阶武器特效,,,
11134,Equip_KnightLevel3Weapon_DCQ004,RWeapon,0,,,,1,1,-1,圣骑紫品3阶武器特效,,,
11135,Equip_KnightLevel4Weapon_DCQ004,RWeapon,0,,,,1,1,-1,圣骑红品3阶武器特效,,,
11136,Equip_KnightLevel5Weapon_DCQ004,RWeapon,0,,,,1,1,-1,圣骑橙品3阶武器特效,,,
11161,Equip_KnightLightWeapon_DCQ001,RWeapon,0,,,,1,1,-1,Weapon_Knight_Rh_SpearLight01配套的特效,,,
11162,Equip_KnightLightWeapon_DCQ002,RWeapon,0,,,,1,1,-1,Weapon_Knight_Rh_SpearLight02配套的特效,,,
11203,Equip_KnightLevel2Body_DCQ001,RArm,0,,,,1,1,-1,圣骑0阶蓝品右肩特效,,,
11204,Equip_KnightLevel3Body_DCQ001,RArm,0,,,,1,1,-1,圣骑0阶紫品右肩特效,,,
11205,Equip_KnightLevel4Body_DCQ001,RArm,0,,,,1,1,-1,圣骑0阶红品右肩特效,,,
11206,Equip_KnightLevel5Body_DCQ001,RArm,0,,,,1,1,-1,圣骑0阶橙品右肩特效,,,
11213,Equip_KnightLevel2Body_DCQ001,RArm,0,,,,1,1,-1,圣骑1阶蓝品右肩特效,,,
11214,Equip_KnightLevel3Body_DCQ001,RArm,0,,,,1,1,-1,圣骑1阶紫品右肩特效,,,
11215,Equip_KnightLevel4Body_DCQ001,RArm,0,,,,1,1,-1,圣骑1阶红品右肩特效,,,
11216,Equip_KnightLevel5Body_DCQ001,RArm,0,,,,1,1,-1,圣骑1阶橙品右肩特效,,,
11223,Equip_KnightLevel2Body_DCQ001,RArm,0,,,,1,1,-1,圣骑2阶蓝品右肩特效,,,
11224,Equip_KnightLevel3Body_DCQ001,RArm,0,,,,1,1,-1,圣骑2阶紫品右肩特效,,,
11225,Equip_KnightLevel4Body_DCQ001,RArm,0,,,,1,1,-1,圣骑2阶红品右肩特效,,,
11226,Equip_KnightLevel5Body_DCQ001,RArm,0,,,,1,1,-1,圣骑2阶橙品右肩特效,,,
11233,Equip_KnightLevel2Body_DCQ001,RArm,0,,,,1,1,-1,圣骑3阶蓝品右肩特效,,,
11234,Equip_KnightLevel3Body_DCQ001,RArm,0,,,,1,1,-1,圣骑3阶紫品右肩特效,,,
11235,Equip_KnightLevel4Body_DCQ001,RArm,0,,,,1,1,-1,圣骑3阶红品右肩特效,,,
11236,Equip_KnightLevel5Body_DCQ001,RArm,0,,,,1,1,-1,圣骑3阶橙品右肩特效,,,
11303,Equip_KnightLevel2Body_DCQ003,RHand,0,,LHand,,1,1,-1,圣骑0阶蓝品手臂特效,,,
11304,Equip_KnightLevel3Body_DCQ003,RHand,0,,LHand,,1,1,-1,圣骑0阶紫品手臂特效,,,
11305,Equip_KnightLevel4Body_DCQ003,RHand,0,,LHand,,1,1,-1,圣骑0阶红品手臂特效,,,
11306,Equip_KnightLevel5Body_DCQ003,RHand,0,,LHand,,1,1,-1,圣骑0阶橙品手臂特效,,,
11313,Equip_KnightLevel2Body_DCQ003,RHand,0,,LHand,,1,1,-1,圣骑1阶蓝品手臂特效,,,
11314,Equip_KnightLevel3Body_DCQ003,RHand,0,,LHand,,1,1,-1,圣骑1阶紫品手臂特效,,,
11315,Equip_KnightLevel4Body_DCQ003,RHand,0,,LHand,,1,1,-1,圣骑1阶红品手臂特效,,,
11316,Equip_KnightLevel5Body_DCQ003,RHand,0,,LHand,,1,1,-1,圣骑1阶橙品手臂特效,,,
11323,Equip_KnightLevel2Body_DCQ003,RHand,0,,LHand,,1,1,-1,圣骑2阶蓝品手臂特效,,,
11324,Equip_KnightLevel3Body_DCQ003,RHand,0,,LHand,,1,1,-1,圣骑2阶紫品手臂特效,,,
11325,Equip_KnightLevel4Body_DCQ003,RHand,0,,LHand,,1,1,-1,圣骑2阶红品手臂特效,,,
11326,Equip_KnightLevel5Body_DCQ003,RHand,0,,LHand,,1,1,-1,圣骑2阶橙品手臂特效,,,
11333,Equip_KnightLevel2Body_DCQ003,RHand,0,,LHand,,1,1,-1,圣骑3阶蓝品手臂特效,,,
11334,Equip_KnightLevel3Body_DCQ003,RHand,0,,LHand,,1,1,-1,圣骑3阶紫品手臂特效,,,
11335,Equip_KnightLevel4Body_DCQ003,RHand,0,,LHand,,1,1,-1,圣骑3阶红品手臂特效,,,
11336,Equip_KnightLevel5Body_DCQ003,RHand,0,,LHand,,1,1,-1,圣骑3阶橙品手臂特效,,,
11403,Equip_KnightLevel2Body_DCQ005,RLeg,0,,LLeg,,0.6,1,-1,圣骑0阶蓝品腿部特效,,,
11404,Equip_KnightLevel3Body_DCQ005,RLeg,0,,LLeg,,0.6,1,-1,圣骑0阶紫品腿部特效,,,
11405,Equip_KnightLevel4Body_DCQ005,RLeg,0,,LLeg,,0.6,1,-1,圣骑0阶红品腿部特效,,,
11406,Equip_KnightLevel5Body_DCQ005,RLeg,0,,LLeg,,0.6,1,-1,圣骑0阶橙品腿部特效,,,
11413,Equip_KnightLevel2Body_DCQ005,RLeg,0,,LLeg,,0.6,1,-1,圣骑1阶蓝品腿部特效,,,
11414,Equip_KnightLevel3Body_DCQ005,RLeg,0,,LLeg,,0.6,1,-1,圣骑1阶紫品腿部特效,,,
11415,Equip_KnightLevel4Body_DCQ005,RLeg,0,,LLeg,,0.6,1,-1,圣骑1阶红品腿部特效,,,
11416,Equip_KnightLevel5Body_DCQ005,RLeg,0,,LLeg,,0.6,1,-1,圣骑1阶橙品腿部特效,,,
11423,Equip_KnightLevel2Body_DCQ005,RLeg,0,,LLeg,,1,1,-1,圣骑2阶蓝品腿部特效,,,
11424,Equip_KnightLevel3Body_DCQ005,RLeg,0,,LLeg,,1,1,-1,圣骑2阶紫品腿部特效,,,
11425,Equip_KnightLevel4Body_DCQ005,RLeg,0,,LLeg,,1,1,-1,圣骑2阶红品腿部特效,,,
11426,Equip_KnightLevel5Body_DCQ005,RLeg,0,,LLeg,,1,1,-1,圣骑2阶橙品腿部特效,,,
11433,Equip_KnightLevel2Body_DCQ005,RLeg,0,,LLeg,,1,1,-1,圣骑3阶蓝品腿部特效,,,
11434,Equip_KnightLevel3Body_DCQ005,RLeg,0,,LLeg,,1,1,-1,圣骑3阶紫品腿部特效,,,
11435,Equip_KnightLevel4Body_DCQ005,RLeg,0,,LLeg,,1,1,-1,圣骑3阶红品腿部特效,,,
11436,Equip_KnightLevel5Body_DCQ005,RLeg,0,,LLeg,,1,1,-1,圣骑3阶橙品腿部特效,,,
11503,Equip_KnightLevel2Body_DCQ006,Hips,0,,,,0.8,1,-1,圣骑0阶蓝品身体特效,,,
11504,Equip_KnightLevel3Body_DCQ006,Hips,0,,,,0.8,1,-1,圣骑0阶紫品身体特效,,,
11505,Equip_KnightLevel4Body_DCQ006,Hips,0,,,,0.8,1,-1,圣骑0阶红品身体特效,,,
11506,Equip_KnightLevel5Body_DCQ006,Hips,0,,,,0.8,1,-1,圣骑0阶橙品身体特效,,,
11513,Equip_KnightLevel2Body_DCQ006,Hips,0,,,,0.8,1,-1,圣骑1阶蓝品身体特效,,,
11514,Equip_KnightLevel3Body_DCQ006,Hips,0,,,,0.8,1,-1,圣骑1阶紫品身体特效,,,
11515,Equip_KnightLevel4Body_DCQ006,Hips,0,,,,0.8,1,-1,圣骑1阶红品身体特效,,,
11516,Equip_KnightLevel5Body_DCQ006,Hips,0,,,,0.8,1,-1,圣骑1阶橙品身体特效,,,
11523,Equip_KnightLevel2Body_DCQ006,Hips,0,,,,0.8,1,-1,圣骑2阶蓝品身体特效,,,
11524,Equip_KnightLevel3Body_DCQ006,Hips,0,,,,0.8,1,-1,圣骑2阶紫品身体特效,,,
11525,Equip_KnightLevel4Body_DCQ006,Hips,0,,,,0.8,1,-1,圣骑2阶红品身体特效,,,
11526,Equip_KnightLevel5Body_DCQ006,Hips,0,,,,0.8,1,-1,圣骑2阶橙品身体特效,,,
11533,Equip_KnightLevel2Body_DCQ006,Hips,0,,,,1,1,-1,圣骑3阶蓝品身体特效,,,
11534,Equip_KnightLevel3Body_DCQ006,Hips,0,,,,1,1,-1,圣骑3阶紫品身体特效,,,
11535,Equip_KnightLevel4Body_DCQ006,Hips,0,,,,1,1,-1,圣骑3阶红品身体特效,,,
11536,Equip_KnightLevel5Body_DCQ006,Hips,0,,,,1,1,-1,圣骑3阶橙品身体特效,,,
11603,Equip_KnightLevel2Body_DCQ002,LArm,0,,,,1,1,-1,圣骑0阶蓝品左肩特效,,,
11604,Equip_KnightLevel3Body_DCQ002,LArm,0,,,,1,1,-1,圣骑0阶紫品左肩特效,,,
